Project Name,Utility Contract Address,Token,Project/Dapp Website,App Type,Chain
Mirandus,0xcd17fA52528f37FACB3028688E62ec82d9417581,ERC20,mirandus.game,Game,Ethereum
League of Kingdoms,0x61E90A50137E1F645c9eF4a0d3A4f01477738406,ERC20,leagueofkingdoms.com,Game,Ethereum
League of Kingdoms,"0x6CC462bc49ceCFE943Bc4F477b23b92906e6074F, 0x2AeAFfc99CEF9f6fc0869c1f16F890AbDFCC222B",ERC721,leagueofkingdoms.com,Game,Ethereum
Decentraland,"0x0F5D2fB29fb7d3CFeE444a200298f468908cC942, 0xFd09Cf7cFffa9932e33668311C4777Cb9db3c9Be",ERC20,decentraland.org,Game,Ethereum
Decentraland,"0x2A187453064356c898cAe034EAed119E1663ACb8, 0xc1f4b0eEa2bD6690930e6c66eFd3E197D620B9c2",ERC721,decentraland.org,Game,Ethereum
NFT Worlds,0xd5d86fc8d5c0ea1ac1ac5dfab6e529c9967a45e9,ERC20,nftworlds.com,Game,Ethereum
NFT Worlds,0xBD4455dA5929D5639EE098ABFaa3241e9ae111Af,ERC721,nftworlds.com,Game,Ethereum
Illuvium,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,ERC20,illuvium.io,Game,Ethereum
MoonCatRescue,0x60cd862c9C687A9dE49aecdC3A99b74A4fc54aB6,ERC20,mooncatrescue.com,Game,Ethereum
MoonCatRescue,0x7C40c393DC0f283F318791d746d894DdD3693572,ERC721,mooncatrescue.com,Game,Ethereum
Immortal Player Characters (IPCs),0x011C77fa577c500dEeDaD364b8af9e8540b808C0,ERC721,immortalplayercharacters.com,Game,Ethereum
CryptoKitties,0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,ERC721,cryptokitties.co,Game,Ethereum
CryptoKitties,0x09fE5f0236F0Ea5D930197DCE254d77B04128075,ERC20,cryptokitties.co,Game,Ethereum
Benji Bananas,0x5911a6DA952A9D1B67Be13cEcB389aD247420360,ERC1155,benjibananas.com,Game,Ethereum
NetVRk,0xfc0d6cf33e38bce7ca7d89c0e292274031b7157a,ERC20,netvrk.co,Game,Ethereum
Ragnarok,0x497a9A79e82e6fC0FF10a16f6F75e6fcd5aE65a8,ERC1155,ragnarok.xyz,Game,Ethereum
F1 Delta Time,0x2aF75676692817d85121353f0D6e8E9aE6AD5576,ERC1155,f1deltatime.com,Game,Ethereum
Voxies,0xE3435EdBf54b5126E817363900234AdFee5B3cee,ERC721,voxies.io,Game,Ethereum
Farm Land by Pixels,0x5C1A0CC6DAdf4d0fB31425461df35Ba80fCBc110,ERC721,pixels.online,Game,Ethereum
Cryptobots,0xF7a6E15dfD5cdD9ef12711Bd757a9b6021ABf643,ERC20,cryptobots.me,Game,Ethereum
Decentral Games,"0x4f81C790581b240A5C948Afd173620EcC8C71c8d, 0x4b520c812E8430659FC9f12f6d0c39026C83588D",ERC20,decentral.games,Game,Ethereum
Ethermon,"0xd6a5ab46ead26f49b03bbb1f9eb1ad5c1767974a, 0x95dAaaB98046846bF4B2853e23cba236fa394A31",ERC20,ethermon.io,Game,Ethereum
Ethermon,"0x5D00d312e171Be5342067c09BaE883f9Bcb2003B, 0x54266bcF2FfA841af934F003D144957d5934F3aB, 0xfF1BE3171A16FE431E31d874E4De14814362E588",ERC721,ethermon.io,Game,Ethereum
MARS4,0x16cda4028e9e872a38acb903176719299beaed87,ERC20,mars4.me,Game,Ethereum
MARS4,0xdf9Aa1012Fa49DC1d2a306e3e65EF1797d2b5fBb,ERC721,mars4.me,Game,Ethereum
Sipherian Surge,0x9F52c8ecbEe10e00D9faaAc5Ee9Ba0fF6550F511,ERC20,sipher.xyz,Game,Ethereum
Sipherian Surge,"0x09E0dF4aE51111CA27d6B85708CFB3f1F7cAE982, 0x9c57D0278199c931Cf149cc769f37Bb7847091e7",ERC721,sipher.xyz,Game,Ethereum
Bullieverse,0x329fa32F6520FB67Bb3C1fc3a6909BEb8239544c,ERC721,bullieverse.com,Game,Ethereum
Metaguardians,"0x6FbBc8977616e0425911C69d72E12d32A5865560, 0x62cDAf466511888792c8C413239bAa70f57f1654",ERC721,metaguardians.com,Game,Ethereum
Monsterbuds,0x6317C4CAB501655D7B85128A5868E98a094C0082,ERC721,monsterbuds.io,Game,Ethereum
Nifty League,0x3c8D2FCE49906e11e71cB16Fa0fFeB2B16C29638,ERC20,niftyleague.com,Game,Ethereum
OpenSea,"0x7f268357A8c2552623316e2562D90e642bB538E5, 0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b, 0xa5409ec958C83C3f309868babACA7c86DCB077c1, 0x00000000006c3852cbef3e08e8df289169ede581",ERC20,opensea.io,Marketplace,Ethereum
OpenSea,"0x495f947276749Ce646f68AC8c248420045cb7b5e, 0x090d4613473dee047c3f2706764f49e0821d256e, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d",ERC1155,opensea.io,Marketplace,Ethereum
Uniswap,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,ERC721,uniswap.org,Exchange,Ethereum
Uniswap,"0xE592427A0AEce92De3Edee1F18E0157C05861564, 0x1c9052e823b5f4611ef7d5fb4153995b040ccbf5, 0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984, 0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45",ERC20,uniswap.org,Exchange,Ethereum
MetaMask Swap,0x881d40237659c251811cec9c364ef91dc08d300c,ERC20,metamask.io,DeFi,Ethereum
0x Protocol,0xE41d2489571d322189246DaFA5ebDe1F4699F498,ERC20,0x.org,Exchange,Ethereum
SushiSwap,"0x6b3595068778dd592e39a122f4f5a5cf09c90fe2, 0x650F44eD6F1FE0E1417cb4b3115d52494B4D9b6D",ERC20,sushi.com,DeFi,Ethereum
Polygon POS Bridge,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,ERC20,polygon.technology,DeFi,Ethereum
X2Y2,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,ERC20,x2y2.io,Marketplace,Ethereum
Chimpers,0x80336Ad7A747236ef41F47ed2C7641828a480BAA,ERC721,chimpers.xyz,Collectibles,Ethereum
1Inch Network,"0x111111111117dc0aa78b770fa6a738034120c302, 0x03d1B1A56708FA298198DD5e23651a29B76a16d2",ERC20,1inch.io,DeFi,Ethereum
Foundation,0x3B3ee1931Dc30C1957379FAc9aba94D1C48a5405,ERC721,foundation.app,Marketplace,Ethereum
CowSwap,"0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB, 0xD057B63f5E69CF1B929b356b579Cba08D7688048",ERC20,cow.fi,DeFi,Ethereum
LooksRare,0xf4d2888d29d722226fafa5d9b24f9164c092421e,ERC20,looksrare.org,Marketplace,Ethereum
Hex,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,ERC20,hex.com,DeFi,Ethereum
Aave,"0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9, 0x80fb784b7ed66730e8b1dbd9820afd29931aab03, 0x398ec7346dcd622edc5ae82352f02be94c62d119, 0x030ba81f1c18d280636f32af80b9aad02cf0854e, 0x3a3a65aab0dd2a17e3f1947ba16138cd37d08c04, 0x317625234562b1526ea2fac4030ea499c5291de4, 0xa64bd6c70cb9051f6a9ba1f163fdc07e0dfb5f84, 0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d, 0x9ba00d6856a4edf4665bca2c2309936572473b7e, 0xbcca60bb61934080951369a648fb03df4f96263c, 0xf63b34710400cad3e044cffdcab00a0f32e33ecf, 0x328c4c80bc7aca0834db37e6600a6c49e12da4de, 0xfc4b8ed459e00e5400be803a9bb3954234fd50e3, 0x12e51e77daaa58aa0e9247db7510ea4b46f9bead, 0x028171bca77440897b824ca71d1c56cac55b68a3, 0x7d2d3688df45ce7c552e19c27e007673da9204b8, 0x71fc860f7d3a592a4a98740e39db31d25db65ae8, 0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656, 0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0, 0x9d91be44c06d373a8a226e1f3b146956083803eb, 0x3ed3b47dd13ec9a98b44e6204a523e766b225811, 0x625ae63000f46200499120b906716420bd059240, 0xffc97d72e13e01096502cb8eb52dee56f74dad7b, 0xba3d9687cf50fe253cd2e1cfeede1d6787344ed5, 0xe1ba0fb44ccb0d11b80f92f4f8ed94ca3ff51d00, 0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1, 0x8dae6cb04688c62d939ed9b68d32bc62e49970b1, 0x7deb5e830be29f91e298ba5ff1356bb7f8146998, 0x35f6b052c598d933d69a4eec4d04c73a191fe6c2, 0x4da9b813057d04baef4e5800e36083717b4a0341, 0x5165d24277cd063f5ac44efd447b27025e888f37, 0xb124541127a0a657f056d9dd06188c4f1b0e5aab, 0x4e977830ba4bd783c0bb7f15d3e243f73ff57121, 0x6fb0855c404e09c47c3fbca25f08d4e41f9f062f, 0x6ee0f7bb50a54ab5253da0667b0dc2ee526c30a8, 0x6fce4a401b6b80ace52baaefe4421bd188e76f6f, 0x6c3c78838c761c6ac7be9f59fe808ea2a6e4379d, 0xc713e5e149d5d0715dcd1c156a020976e7e56b88, 0xac6df26a590f08dcc95d5a4705ae8abbc88509ef, 0xcc12abe4ff81c9378d670de1b57f8e0dd228d77a, 0xa685a61171bb30d4072b338c80cb7b2c865c873e, 0xa361718326c15715591c299427c62086f69923d9, 0x101cc05f4a51c0319f570d5e146a8c625198e636, 0x619beb58998ed2278e08620f97007e1116d5d25b, 0x6c5024cd4f8a59110119c56f8933403a539555eb, 0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1, 0x531842cebbdd378f8ee36d171d6cc9c4fcf475ec, 0x39c6b3e42d6a679d7d776778fe880bc9487c2eda",ERC20,aave.com,DeFi,Ethereum
Element Market,0x20f780a973856b93f63670377900c1d2a50a77c4,ERC20,element.market,Marketplace,Ethereum
Crypto.com,"0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b, 0xB63B606Ac810a52cCa15e44bB630fd42D8d1d83d",ERC20,crypto.com,Exchange,Ethereum
Shiba Swap,"0x27c70cd1946795b66be9d954418546998b546634, 0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7, 0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE, 0x03f7724180AA6b939894B5Ca4314783B0b36b329, 0xB4a81261b16b92af0B9F7C4a83f1E885132D81e4",ERC20,shibaswap.com,DeFi,Ethereum
Curve,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x845838df265dcd2c412a1dc9e959c7d08537f8a2, 0xdF5e0e81Dff6FAF3A7e52BA697820c5e32D806A8, 0x9fC689CCaDa600B6DF723D9E47D84d76664a1F23, 0xD533a949740bb3306d119CC777fa900bA034cd52, 0x075b1bb99792c9E1041bA13afEf80C91a1e70fB3,        
0x49849C98ae39Fff122806C06791Fa73784FB3675, 0xD905e2eaeBe188fc92179b6350807D8bd91Db0D8,        
0xC25a3A3b969415c80451098fa907EC722572917F, 0x3b3ac5386837dc563660fb6a0937dfaa5924333b,        
0x97E2768e8E73511cA874545DC5Ff8067eB19B787, 0x5B5CFE992AdAC0C9D48E05854B2d91C73a003858,        
0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490, 0x1AEf73d49Dedc4b1778d0706583995958Dc862e6, 0x6D65b498cb23deAba52db31c93Da9BFFb340FB8F, 0x4f3E8F405CF5aFC05D68142F3783bDfE13811522",ERC20,curve.fi,DeFi,Ethereum
Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,ERC20,convexfinance.com,DeFi,Ethereum
HOP Protocol,"0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc, 0xb98454270065a31d71bf635f6f7ee6a518dfb849, 0x3e4a3a4796d16c0cd582c382691998f7c06420b6, 0x3666f603cc164936c1b87e207f36beba4ac5f18a, 0x22b1cbb8d98a01a3b71d034bb899775a76eb1cc2, 0xb8901acb165ed027e32754e0ffe830802919727f, 0x3d4cc8a61c7528fd86c55cfe061a78dcba48edd1",ERC20,hop.exchange,Exchange,Ethereum
BitDAO,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,ERC20,bitdao.io,DAO,Ethereum
Unstoppable Domains,"0xa9a6A3626993D487d2Dbda3173cf58cA1a9D9e9f, 0xc37d3c4326ab0e1d2b9d8b916bbdf5715f780fcf, 0x7be83293BeeDc9Eba1bd76c66A65F10F3efaeC26",ERC721,unstoppabledomains.com,Marketplace,Polygon
Unstoppable Domains,"0x049aba7510f45BA5b64ea9E658E342F904DB358D, 0x2a7084870bB724175a3C96Da8FaA55128fa3E19D, 0xb970fbCF52cd8111c76c379D4f2FE12E7f8AE7fb",ERC721,unstoppabledomains.com,Marketplace,Ethereum
Gnosis DAO,0x5FFD62D3C3eE2E81C00A7b9079FB248e7dF024A8,ERC20,gnosis.io,DAO,Polygon
Lido,"0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4, 0xC3C7d422809852031b44ab29EEC9F1EfF2A58756",ERC20,lido.fi,Defi,Polygon
Olympus DAO,"0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5, 0x575409f8d77c12b05fed8b455815f0e54797381c, 0xa64ed1b66cb2838ef2a198d8345c0ce6967a2a3c, 0x24ecfd535675f36ba1ab9c5d39b50dc097b0792e, 0xe6295201cd1ff13ced5f063a5421c39a1d236f1c, 0x8510c8c2b6891e04864fa196693d44e6b6ec2514, 0x10c0f93f64e3c8d0a1b0f4b87d6155fd9e89d08d, 0xd27001d1aaed5f002c722ad729de88a91239ff29, 0x956c43998316b6a2f21f89a1539f73fb5b78c151, 0xc20cfff07076858a7e642e396180ec390e5a02f7, 0xfb1776299e7804dd8016303df9c07a65c80f67b6, 0xc60a6656e08b62dd2644dc703d7855301363cc38, 0x9025046c6fb25fb39e720d97a8fd881ed69a1ef6, 0x383518188c0c6d7730d91b2c03a03c837814a899, 0xc8c436271f9a6f10a5b80c8b8ed7d0e8f37a612d, 0xfd31c7d00ca47653c6ce64af53c1571f9c36566a, 0xca76543cf381ebbb277be79574059e32108e3e65",ERC20,olympusdao.finance,DeFi,Ethereum
ENS,"0x283Af0B28c62C092C9727F1Ee09c02CA627EB7F5, 0x084b1c3C81545d370f3634392De611CaaBFf8148",ERC721,ens.domains,Marketplace,Ethereum
ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,ERC20,ens.domains,Marketplace,Ethereum
Compound,"0xc00e94Cb662C3520282E6f5717214004A7f26888, 0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4, 0xf5dce57282a584d2746faf1593d3121fcac444dc, 0xccf4429db6322d5c611ee964527d42e5d685dd6a, 0xface851a4921ce59e912d19329929ce6da6eb0c7, 0x12392f67bdf24fae0af363c24ac620a2f67dad86, 0xe65cdb6479bac1e22340e4e755fae7e509ecd06c, 0x4b0181102a0112a2ef11abee5563bb4a3176c9d7, 0x95b4ef2869ebd94beb4eee400a99824bf5dc325b, 0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946, 0x39aa39c021dfbae8fac545936693ac917d5e7563, 0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5",ERC20,compound.finance,DeFi,Ethereum
Ribbon,0x6123B0049F904d730dB3C36a31167D9d4121fA6B,ERC20,ribbon.finance,DeFi,Ethereum
Poap,0x22C1f6050E56d2876009903609a2cC3fEf83B415,ERC721,poap.xyz,Social,Gnosis
PancakeSwap,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,BEP20,pancakeswap.finance,DeFi,Binance
Venus,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,BEP20,venus.io,DeFi,Binance
Wombat Exchange,0xAD6742A35fB341A9Cc6ad674738Dd8da98b94Fb1,BEP20,wombat.exchange,DeFi,Binance
Thena,0xF4C8E32EaDEC4BFe97E0F595AdD0f4450a863a11,BEP20,thena.fi,Exchange,Binance
Thena,"0xfBBF371C9B0B994EebFcC977CEf603F7f31c070D, 0x2Af749593978CB79Ed11B9959cD82FD128BA4f8d",ERC721,thena.fi,Exchange,Binance
Level,"0xB64E280e9D1B5DbEc4AcceDb2257A87b400DB149, 0xBe2B6C5E31F292009f495DDBda88e28391C9815E",BEP20,level.finance,Exchange,Binance
Moonwell Artemnis,0x511ab53f793683763e5a8829738301368a2411e3,ERC20,moonwell.fi,DeFi,Moonbeam
StellaSwap,0x0E358838ce72d5e61E0018a2ffaC4bEC5F4c88d2,ERC20,stellaswap.com,Exchange,Moonbeam
ParaSwap,"0x31188f0e623055dAbf7d030a4AB05EaCd4638565, 0xB7B18497d542e37e4dc7E6cda7EFE94931E9ba2A",ERC20,paraswap.io,Exchange,Avalanche
WooFi,"0xa2101FD320D06e0A744e4FE90ef8A20ECd027001, 0x764f5D857dB9851fC791fe584bdACA4c59682744, 0x6dE98Df2005efd6793FC615bf0231de2086ae82D, 0x0208D735576B3D974024237393F4617285bf0563",ERC20,woo.org,DeFi,Avalanche
TraderJoe,"0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd, 0x57319d41F71E81F3c65F2a47CA4e001EbAFd4F33, 0x1a731B2299E22FbAC282E7094EdA41046343Cb51, 0x25D85E17dD9e544F6E9F8D44F99602dbF5a97341, 0x3cabf341943Bc8466245e4d6F1ae0f8D071a1456, 0x9Ad6C38BE94206cA50bb0d90783181662f0Cfa10, 0x60aE616a2155Ee3d9A68541Ba4544862310933d4, 0xd6a4F121CA35509aF06A0Be99093d08462f53052, 0x188bED1968b795d5c9022F6a0bb5931Ac4c18F00, 0x4483f0b6e2F5486D06958C20f8C39A7aBe87bf8F, 0x82FE038Ea4b50f9C957da326C412ebd73462077C",ERC20,traderjoexyz.com,DeFi,Avalanche