Country name,Numeric code
Zambia,894
Yemen,887
Samoa,882
Wallis and Futuna,876
Venezuela (Bolivarian Republic of),862
Uzbekistan,860
Uruguay,858
Burkina Faso,854
Virgin Islands (U.S.),850
United States of America (the),840
Tanzania, the United Republic of,834
Isle of Man,833
Jersey,832
Guernsey,831
United Kingdom of Great Britain and Northern Ireland (the),826
Egypt,818
North Macedonia ,807
Ukraine,804
Uganda,800
Tuvalu,798
Turks and Caicos Islands (the),796
Turkmenistan,795
Turkey,792
Tunisia,788
United Arab Emirates (the),784
Trinidad and Tobago,780
Tonga,776
Tokelau,772
Togo,768
Thailand,764
Tajikistan,762
Syrian Arab Republic (the),760
Switzerland,756
Sweden,752
Eswatini ,748
Svalbard Jan Mayen,744
Suriname,740
Western Sahara ,732
Sudan (the),729
South Sudan,728
Spain,724
Zimbabwe,716
South Africa,710
Somalia,706
Slovenia,705
Viet Nam ,704
Slovakia,703
Singapore,702
Sierra Leone,694
Seychelles,690
Serbia,688
Senegal,686
Saudi Arabia,682
Sao Tome and Principe,678
San Marino,674
Saint Vincent and the Grenadines,670
Saint Pierre and Miquelon,666
Saint Martin (French part),663
Saint Lucia,662
Anguilla,660
Saint Kitts and Nevis,659
Saint Helena Ascension Island Tristan da Cunha,654
Saint Barthélemy,652
Rwanda,646
Russian Federation (the) ,643
Romania,642
Réunion,638
Qatar,634
Puerto Rico,630
Timor-Leste ,626
Guinea-Bissau,624
Portugal,620
Poland,616
Pitcairn ,612
Philippines (the),608
Peru,604
Paraguay,600
Papua New Guinea,598
Panama,591
Pakistan,586
Palau,585
Marshall Islands (the),584
Micronesia (Federated States of),583
United States Minor Outlying Islands (the) ,581
Northern Mariana Islands (the),580
Norway,578
Norfolk Island,574
Niue,570
Nigeria,566
Niger (the),562
Nicaragua,558
New Zealand,554
Vanuatu,548
New Caledonia,540
Bonaire Sint Eustatius Saba,535
Sint Maarten (Dutch part),534
Aruba,533
Curaçao,531
Netherlands (the),528
Nepal,524
Nauru,520
Namibia,516
Oman,512
Mozambique,508
Morocco,504
Montserrat,500
Montenegro,499
Moldova (the Republic of),498
Mongolia,496
Monaco,492
Mexico,484
Mauritius,480
Mauritania,478
Martinique,474
Malta,470
Mali,466
Maldives,462
Malaysia,458
Malawi,454
Madagascar,450
Macao ,446
Luxembourg,442
Lithuania,440
Liechtenstein,438
Libya,434
Liberia,430
Latvia,428
Lesotho,426
Lebanon,422
Lao People's Democratic Republic (the) ,418
Kyrgyzstan,417
Kuwait,414
Korea (the Republic of) ,410
Korea (the Democratic People's Republic of) ,408
Kenya,404
Jordan,400
Kazakhstan,398
Japan,392
Jamaica,388
Côte d'Ivoire ,384
Italy,380
Israel,376
Ireland,372
Iraq,368
Iran (Islamic Republic of),364
Indonesia,360
India,356
Iceland,352
Hungary,348
Hong Kong,344
Honduras,340
Holy See (the) ,336
Heard Island and McDonald Islands,334
Haiti,332
Guyana,328
Guinea,324
Guatemala,320
Guam,316
Guadeloupe,312
Grenada,308
Greenland,304
Greece,300
Kiribati,296
Gibraltar,292
Ghana,288
Germany,276
Palestine, State of,275
Gambia (the),270
Georgia,268
Gabon,266
Djibouti,262
French Southern Territories (the) ,260
French Polynesia,258
French Guiana,254
France ,250
Åland Islands,248
Finland,246
Fiji,242
South Georgia and the South Sandwich Islands,239
Falkland Islands (the),238
Faroe Islands (the),234
Estonia,233
Eritrea,232
Ethiopia,231
Equatorial Guinea,226
El Salvador,222
Ecuador,218
Dominican Republic (the),214
Dominica,212
Denmark,208
Benin,204
Czechia ,203
Cyprus,196
Cuba,192
Croatia,191
Costa Rica,188
Cook Islands (the),184
Congo (the Democratic Republic of the),180
Congo (the),178
Mayotte,175
Comoros (the),174
Colombia,170
Cocos (Keeling) Islands (the),166
Christmas Island,162
Taiwan (Province of China) ,158
China,156
Chile,152
Chad,148
Sri Lanka,144
Central African Republic (the),140
Cayman Islands (the),136
Cabo Verde ,132
Canada,124
Cameroon,120
Cambodia,116
Belarus,112
Burundi,108
Myanmar,104
Bulgaria,100
Brunei Darussalam ,96
Virgin Islands (British) ,92
Solomon Islands,90
British Indian Ocean Territory (the),86
Belize,84
Brazil,76
Bouvet Island,74
Botswana,72
Bosnia and Herzegovina,70
Bolivia (Plurinational State of),68
Bhutan,64
Bermuda,60
Belgium,56
Barbados,52
Armenia,51
Bangladesh,50
Bahrain,48
Bahamas (the),44
Austria,40
Australia ,36
Argentina,32
Azerbaijan,31
Antigua and Barbuda,28
Angola,24
Andorra,20
American Samoa,16
Algeria,12
Antarctica ,10
Albania,8
Afghanistan,4